Level,Date,Source,ID,Task
Information,4/10/2022 10:10:24 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/10/2022 10:08:21 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 9 keys and creating 2 modified pages.
Information,4/10/2022 9:57:01 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/10/2022 9:52:50 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,4/10/2022 9:51:39 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,4/10/2022 9:40:16 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/10/2022 9:40:10 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.363.150.0)
Information,4/10/2022 9:39:44 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.363.150.0)
Information,4/10/2022 9:39:39 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,4/10/2022 9:38:26 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 2022-04 Update for Windows 10 Version 20H2 for x64-based Systems (KB4023057)
Information,4/10/2022 9:38:18 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 2022-04 Update for Windows 10 Version 20H2 for x64-based Systems (KB4023057)
Information,4/10/2022 9:35:07 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,4/10/2022 9:35:07 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,4/10/2022 9:35:05 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,4/10/2022 9:35:04 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎04‎-‎08T18:10:18.585443400Z
Wake Time: ‎2022‎-‎04‎-‎10T16:35:02.621551300Z

Wake Source: Unknown"
Warning,4/10/2022 9:35:04 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,4/10/2022 9:35:03 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,4/10/2022 9:35:03 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,4/10/2022 9:35:03 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎10T16:35:03.006198700Z from ‎2022‎-‎04‎-‎10T16:35:03.006076300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/10/2022 9:35:03 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Warning,4/10/2022 9:35:02 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x2.
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1A63F8.
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,4/10/2022 9:35:02 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,4/10/2022 9:35:02 AM,EventLog,6013,None,The system uptime is 2366438 seconds.
Information,4/10/2022 9:35:00 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎10T16:35:00.500000000Z from ‎2022‎-‎04‎-‎08T18:10:32.857425600Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,4/8/2022 11:10:32 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
