Level,Date,Source,ID,Task
Information,3/29/2022 2:32:05 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/29/2022 2:29:24 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/29/2022 2:22:09 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.935.0)
Information,3/29/2022 2:21:14 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 11 keys and creating 2 modified pages.
Information,3/29/2022 2:20:25 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.935.0)
Information,3/29/2022 2:20:19 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,3/29/2022 2:18:31 AM,Microsoft-Windows-Kernel-General,15,(10),Hive \??\C:\WINDOWS\System32\config\COMPONENTS was reorganized with a starting size of 33484800 bytes and an ending size of 33415168 bytes.
Information,3/29/2022 2:16:00 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎29T06:18:18.035452800Z
Wake Time: ‎2022‎-‎03‎-‎29T09:15:59.943001000Z

Wake Source: Power Button"
Warning,3/29/2022 2:16:00 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/29/2022 2:16:00 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/29/2022 2:15:58 AM,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 248219165, SuspendEnd: 248219378"
Information,3/29/2022 2:15:58 AM,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 1, FullResume: 218, AverageResume: 218"
Information,3/29/2022 2:15:58 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎29T09:15:58.500000000Z from ‎2022‎-‎03‎-‎29T06:18:22.250898500Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/28/2022 11:18:22 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/28/2022 11:18:21 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Warning,3/28/2022 11:18:17 PM,User32,1073,None,The attempt by user DESKTOP-D57JJ0U\Hp to restart/shutdown computer DESKTOP-D57JJ0U failed
Information,3/28/2022 11:17:09 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/28/2022 9:30:15 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name skydrive.wns.windows.com timed out after none of the configured DNS servers responded.
Information,3/28/2022 9:27:00 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/28/2022 9:24:53 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/28/2022 8:53:55 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/28/2022 8:51:49 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/28/2022 8:37:14 PM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP122
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/28/2022 8:37:14 PM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP122
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/28/2022 8:37:13 PM,NETwNb64,7036,None,The \Device\NDMP122 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/28/2022 8:37:11 PM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP119
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/28/2022 8:37:10 PM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Information,3/28/2022 8:05:28 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/28/2022 7:55:25 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,3/28/2022 7:55:24 PM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎28T19:00:28.536880900Z
Wake Time: ‎2022‎-‎03‎-‎29T02:55:23.523691300Z

Wake Source: Unknown"
Information,3/28/2022 7:55:24 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume1\Boot\BCD was cleared updating 49 keys and creating 7 modified pages.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x2.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1A63F8.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/28/2022 7:55:23 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/28/2022 7:55:23 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/28/2022 7:55:23 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning,3/28/2022 7:55:22 PM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,3/28/2022 7:55:20 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎29T02:55:20.500000000Z from ‎2022‎-‎03‎-‎28T19:00:49.648398300Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/28/2022 12:00:49 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/28/2022 12:00:39 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Battery"
Information,3/28/2022 12:00:28 PM,Microsoft-Windows-Kernel-Power,524,(223),Critical Battery Trigger Met
Information,3/28/2022 12:00:00 PM,EventLog,6013,None,The system uptime is 1251943 seconds.
Information,3/28/2022 11:59:55 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,3/28/2022 11:58:51 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/28/2022 10:52:32 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP119
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/28/2022 10:52:32 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP119
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/28/2022 10:52:30 AM,NETwNb64,7036,None,The \Device\NDMP119 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/28/2022 10:52:29 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP116
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/28/2022 10:52:29 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/28/2022 10:50:24 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.google-analytics.com timed out after none of the configured DNS servers responded.
Information,3/28/2022 10:28:05 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP116
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
